MSZoning,LotFrontage,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Exterior1st,Foundation,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Fireplaces,GarageType,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Condition1,SalePrice
RL,,10763,NAmes,1Fam,SLvl,2,9,1975,1975,Wd Sdng,PConc,967.0,TA,Y,1176,1250,1503,3,0,5,1,TA,1,Detchd,2,522.0,131,72,2,0,0,10,2019,COD,AdjLand,PosN,639895
RH,67.19729743143988,17357,Crawfor,TwnhsE,1Story,4,2,1930,1980,MetalSd,BrkTil,869.0,Gd,Y,1306,0,1817,1,1,3,1,Fa,3,Detchd,0,0.0,96,10,10,650,0,1,2021,COD,Normal,Norm,551755
RL,32.32250076125674,9579,Veenker,2fmCon,2Story,6,3,2019,2019,MetalSd,PConc,374.0,Ex,N,1616,0,1572,1,0,3,1,TA,0,Detchd,3,522.0,68,11,0,0,0,6,2013,WD,Normal,Artery,485882
FV,20.0,9813,SawyerW,1Fam,1Story,8,3,1997,1997,CemntBd,CBlock,1116.0,Gd,Y,1151,950,1237,1,0,3,1,Gd,0,Attchd,2,420.0,64,86,25,250,2000,2,2013,WD,Normal,Norm,641634
RL,,13919,SawyerW,1Fam,2Story,9,2,2008,2008,Wd Sdng,Slab,885.0,Ex,Y,1066,1200,1990,1,2,1,1,TA,0,None,1,274.0,138,2,10,0,0,8,2015,WD,Normal,Norm,667681
RL,69.60590288309197,5194,OldTown,1Fam,SLvl,1,9,2021,2021,MetalSd,PConc,370.0,Ex,Y,1552,500,2131,2,0,3,1,Ex,0,Attchd,3,615.0,15,32,10,0,0,11,2019,WD,Normal,Norm,588104
RL,,9616,MeadowV,1Fam,2Story,2,1,1943,1961,HdBoard,PConc,1251.0,Gd,Y,1390,400,1697,2,0,4,1,Gd,0,Attchd,2,473.0,51,36,3,200,0,6,2014,WD,Family,Norm,554571
RL,82.6640086941862,8677,NAmes,1Fam,2Story,3,2,1917,1984,Plywood,Slab,1430.0,TA,Y,1003,1100,1889,2,1,1,1,Ex,0,Attchd,1,221.0,105,0,10,0,0,12,2009,New,Normal,PosA,581475
C (all),,9944,BrkSide,1Fam,1Story,4,6,2006,2006,Wd Sdng,PConc,1447.0,Ex,Y,1101,700,1996,2,1,4,2,Gd,1,BuiltIn,1,271.0,36,44,9,0,2000,11,2013,WD,Normal,Norm,696898
FV,,13893,Veenker,1Fam,1Story,10,4,1958,1989,VinylSd,PConc,1107.0,Gd,Y,1158,1300,1952,1,1,4,1,Gd,1,Attchd,2,313.0,143,1,26,0,0,9,2010,WD,Normal,PosN,614014
RL,61.73827224678214,12716,Edwards,Twnhs,2Story,8,9,2018,2018,Plywood,CBlock,1013.0,TA,Y,1208,300,1745,2,0,2,1,TA,0,Attchd,3,748.0,50,55,4,0,0,3,2018,WD,Normal,Norm,701593
RL,70.67220573823154,7505,SawyerW,1Fam,2Story,4,6,1986,2019,MetalSd,PConc,1398.0,Gd,Y,693,0,1739,2,0,4,1,TA,1,Detchd,2,,59,26,30,0,1000,1,2008,WD,Normal,PosN,577804
RL,74.61545589910554,11046,Crawfor,TwnhsE,1Story,10,2,1931,1998,MetalSd,PConc,1504.0,Ex,Y,637,1000,1707,2,1,4,1,Ex,0,Detchd,1,256.0,76,19,46,0,0,2,2016,WD,Normal,Norm,614041
RM,54.21670601455188,16461,NoRidge,1Fam,2Story,5,5,1943,1968,BrkFace,BrkTil,1340.0,Gd,Y,833,700,1061,2,0,3,2,Gd,1,Detchd,2,374.0,154,22,8,0,0,5,2008,WD,Normal,Norm,499030
RL,88.02893400670719,7174,NWAmes,1Fam,2Story,6,1,1975,1995,Plywood,CBlock,717.0,Ex,Y,810,1300,1780,1,1,3,1,Gd,1,Attchd,2,441.0,5,102,50,0,0,5,2023,WD,Normal,PosN,510361
RL,,11080,NoRidge,1Fam,1Story,5,4,1948,1975,VinylSd,PConc,1060.0,TA,Y,906,900,957,2,0,3,1,Ex,1,Detchd,1,215.0,149,15,32,0,0,3,2017,WD,Normal,Norm,562820
RL,52.60565275350193,9727,Timber,1Fam,1Story,2,9,1934,1988,CemntBd,CBlock,1131.0,Ex,Y,1290,650,1182,2,0,3,1,Gd,1,Attchd,3,539.0,0,1,11,750,0,12,2008,COD,Partial,Feedr,467666
RH,,10247,StoneBr,1Fam,1Story,10,5,1926,1962,MetalSd,PConc,457.0,Ex,Y,1049,300,2021,1,0,3,1,TA,0,Attchd,0,0.0,110,221,15,0,0,9,2023,New,Partial,Norm,488568
RL,91.49680351405215,3977,Veenker,1Fam,2Story,1,6,1980,1987,CemntBd,PConc,1140.0,TA,Y,1158,300,1836,2,0,3,1,Gd,1,Attchd,3,590.0,5,3,10,0,0,9,2016,WD,Normal,Norm,506495
RM,67.34407094118681,16143,Mitchel,1Fam,SLvl,2,4,1904,1957,MetalSd,Slab,1681.0,TA,Y,732,1350,2094,1,0,5,1,Gd,1,Attchd,2,450.0,183,8,18,400,500,8,2016,WD,Normal,Norm,744382
RH,56.10972993860456,7402,Somerst,2fmCon,2Story,3,9,1911,1961,Wd Sdng,CBlock,1191.0,TA,Y,961,400,1391,1,1,4,1,Gd,2,Attchd,1,189.0,126,7,0,0,0,8,2007,WD,Normal,Norm,518389
RL,88.52215500897087,14604,ClearCr,1Fam,1Story,3,6,1905,1993,Plywood,CBlock,1442.0,Ex,Y,1276,900,1039,2,1,4,1,TA,1,Attchd,2,413.0,35,34,9,0,0,11,2009,WD,Normal,Norm,583520
RL,112.85497079897493,8014,SawyerW,1Fam,1.5Fin,2,7,1991,1991,HdBoard,CBlock,1054.0,Gd,Y,1278,1450,1403,2,0,5,1,TA,1,Attchd,2,289.0,137,10,0,0,0,5,2020,WD,Normal,Artery,602142
RL,74.19365268617895,7997,ClearCr,1Fam,1Story,1,8,1903,1971,VinylSd,BrkTil,,Fa,Y,882,1600,1540,2,1,1,1,Gd,1,Attchd,2,410.0,36,28,55,600,1000,2,2014,WD,Abnorml,Norm,522559
RM,94.67684921730867,15352,Mitchel,1Fam,2Story,7,7,1952,1954,Plywood,CBlock,1114.0,Gd,N,1148,500,1531,2,0,3,1,TA,3,Attchd,2,521.0,178,52,34,750,2000,4,2017,New,Normal,PosN,790217
RL,90.72155901149578,14475,Veenker,1Fam,2Story,10,9,1915,1981,VinylSd,PConc,755.0,Fa,Y,1759,0,1953,1,0,4,1,TA,0,Attchd,0,0.0,203,14,2,0,0,3,2023,WD,Normal,Norm,656902
RL,57.88720496683334,11334,Sawyer,1Fam,SLvl,2,5,1972,2018,CemntBd,PConc,710.0,TA,Y,1094,1400,1355,2,1,3,1,Gd,0,BuiltIn,1,216.0,33,43,3,0,0,12,2013,WD,Normal,Norm,578555
RL,70.53268360952465,13544,Timber,Duplex,2Story,3,2,1904,2002,Wd Sdng,PConc,1379.0,TA,Y,892,1250,1640,3,1,2,1,Gd,1,Attchd,2,459.0,29,65,7,0,0,7,2012,COD,Normal,Norm,530556
RM,44.34910740592025,9345,Timber,Twnhs,1Story,6,3,1903,1954,VinylSd,Slab,1411.0,Ex,Y,1047,600,1104,1,1,4,1,TA,1,Detchd,1,,64,6,16,0,0,6,2020,WD,Normal,PosA,402055
RM,65.9011546727673,10466,Sawyer,1Fam,1Story,10,3,1950,2019,CemntBd,CBlock,702.0,Fa,Y,1127,1050,1680,2,0,2,1,Gd,0,Attchd,1,284.0,8,60,14,0,0,1,2007,WD,Abnorml,Norm,586473
RL,57.47619261748552,7853,Somerst,1Fam,1Story,7,6,1986,1986,BrkFace,PConc,1290.0,TA,Y,1054,350,1501,3,0,3,1,TA,0,Attchd,2,605.0,220,2,4,0,0,9,2014,Oth,Normal,PosN,623819
FV,61.9422808564873,14116,CollgCr,Twnhs,1Story,8,1,1913,1992,VinylSd,PConc,973.0,TA,Y,1090,1250,1200,1,1,3,1,TA,1,Attchd,1,226.0,112,23,6,0,0,8,2021,WD,Abnorml,Norm,498798
RL,,7726,BrkSide,1Fam,1Story,6,4,1961,1961,BrkFace,BrkTil,1101.0,Fa,Y,666,1300,1405,3,1,4,1,Gd,1,Attchd,2,647.0,120,8,2,0,0,10,2010,WD,Family,Norm,700362
RL,64.25806383608865,16440,NridgHt,1Fam,2Story,5,7,2000,2000,MetalSd,PConc,1138.0,TA,Y,811,550,1426,2,1,3,1,Ex,1,Detchd,2,385.0,103,4,3,500,0,2,2011,WD,Normal,Feedr,462052
RL,80.64465372529828,9236,CollgCr,1Fam,1.5Fin,2,5,1977,2008,Plywood,CBlock,1298.0,Gd,Y,1055,850,1391,2,2,1,1,TA,0,Attchd,2,339.0,0,11,3,0,0,8,2014,WD,Normal,Norm,510427
RM,67.61016179120008,10582,StoneBr,1Fam,1Story,9,4,1993,1993,HdBoard,BrkTil,1024.0,TA,Y,1050,600,2208,2,0,4,1,Ex,0,None,0,0.0,122,30,39,0,0,5,2007,New,Normal,Norm,528931
RM,32.71253604489229,13534,MeadowV,1Fam,2Story,9,5,1939,1962,VinylSd,BrkTil,1423.0,TA,Y,930,0,1460,2,1,4,1,Ex,1,Detchd,2,422.0,82,40,32,0,0,3,2007,WD,Normal,Norm,633947
RL,55.077588702030276,10595,NWAmes,TwnhsE,SLvl,1,2,2016,2016,BrkFace,PConc,1092.0,TA,Y,1046,0,1402,2,1,3,1,Gd,0,Attchd,2,624.0,216,52,17,0,0,3,2010,WD,Partial,Norm,516218
RL,,9308,OldTown,1Fam,2Story,8,1,1918,2018,Plywood,CBlock,1187.0,Gd,Y,1118,1700,661,1,0,1,1,Ex,1,None,2,417.0,82,110,16,0,0,4,2022,Con,Partial,Feedr,597085
RL,,10379,OldTown,1Fam,2Story,1,7,1975,2010,HdBoard,PConc,750.0,Gd,N,1366,800,1142,2,0,3,1,TA,1,Attchd,2,,23,31,7,0,0,9,2009,WD,Normal,Norm,468515
RL,,14075,Gilbert,1Fam,1.5Fin,8,6,1953,1953,MetalSd,Slab,1647.0,TA,Y,1070,300,1394,3,1,3,1,TA,0,Detchd,2,,122,21,0,0,0,1,2019,New,Abnorml,Norm,603236
RL,75.1309644370833,7848,MeadowV,1Fam,2Story,9,7,1903,2018,CemntBd,PConc,1140.0,Ex,Y,1219,0,1225,3,0,3,1,Gd,1,Attchd,2,531.0,64,131,11,0,0,12,2013,WD,Normal,Norm,644668
RL,54.25191213401225,9995,Veenker,TwnhsE,2Story,2,4,2017,2017,MetalSd,CBlock,1213.0,TA,Y,937,650,2052,3,1,2,1,Gd,0,Attchd,1,,61,13,1,750,0,12,2019,WD,Partial,Norm,513016
RL,74.93707858262432,10541,NWAmes,TwnhsE,SFoyer,5,2,1987,1987,Plywood,CBlock,517.0,Gd,Y,1271,1750,1434,2,1,2,1,TA,1,Attchd,2,401.0,22,10,0,0,0,12,2011,Con,Partial,Feedr,564113
RL,60.5977148846225,13958,Edwards,Duplex,1Story,2,8,1928,1998,VinylSd,BrkTil,753.0,TA,Y,1212,700,2015,2,0,3,1,TA,1,BuiltIn,1,144.0,202,31,3,600,0,11,2021,WD,Abnorml,Norm,545143
RL,47.235491004994955,10100,OldTown,1Fam,1Story,6,7,1906,1969,BrkFace,PConc,1371.0,Ex,Y,1359,1750,1524,2,0,3,2,TA,1,Attchd,3,524.0,38,17,11,0,0,4,2012,WD,Normal,PosA,705907
RL,,17733,Timber,Duplex,2Story,10,1,1983,1983,CemntBd,PConc,1086.0,Gd,Y,1314,900,1514,2,1,4,1,TA,2,Detchd,2,577.0,5,2,23,0,0,5,2020,WD,Normal,Norm,577474
RM,,9873,NridgHt,1Fam,1Story,1,9,1967,2002,MetalSd,BrkTil,425.0,Ex,Y,1276,1350,1464,2,0,3,1,TA,0,CarPort,1,247.0,18,7,7,0,0,2,2020,WD,Partial,Norm,535653
RL,88.97790962167012,9549,Edwards,1Fam,1Story,4,6,1906,1964,Wd Sdng,PConc,1311.0,TA,Y,1070,1400,1501,1,1,3,1,Ex,1,Attchd,2,445.0,12,42,19,0,4000,11,2013,WD,Normal,Norm,534929
RM,57.833027999350875,9815,NridgHt,1Fam,1Story,10,3,2022,2022,HdBoard,PConc,836.0,TA,Y,1173,0,2187,1,0,2,2,TA,0,None,2,589.0,3,55,1,600,500,10,2018,WD,Normal,Artery,614261
RL,93.58724625386158,5233,MeadowV,1Fam,2Story,4,4,1989,1989,Wd Sdng,PConc,1423.0,TA,Y,1419,0,572,2,2,4,1,Gd,3,Attchd,1,298.0,8,29,6,450,1000,2,2008,WD,Normal,Norm,566436
RL,60.12835497343865,6353,BrkSide,1Fam,2Story,2,5,1957,1961,MetalSd,Slab,973.0,Gd,Y,904,1650,699,1,0,2,1,Fa,0,Detchd,3,655.0,27,0,18,0,0,12,2014,WD,Partial,Norm,544184
RL,83.07002643077026,8377,Mitchel,2fmCon,1.5Fin,5,1,1929,2011,MetalSd,CBlock,1061.0,Gd,Y,911,1650,1282,1,0,3,1,TA,1,Attchd,2,438.0,14,13,4,0,4000,1,2012,WD,Partial,Norm,648816
RL,59.781746764666494,15043,Gilbert,TwnhsE,1Story,6,1,1933,1999,CemntBd,CBlock,1353.0,TA,N,1154,0,1505,1,1,3,1,Ex,0,BuiltIn,2,,41,32,25,0,0,10,2023,WD,Normal,PosN,522588
FV,65.52035672508458,10367,BrkSide,1Fam,2Story,7,4,1955,2013,MetalSd,BrkTil,730.0,TA,Y,1224,1150,1776,2,0,4,1,TA,0,BuiltIn,2,417.0,223,13,0,650,0,2,2022,WD,Abnorml,Norm,704496
RL,21.57644285221621,8561,CollgCr,1Fam,1Story,4,9,1907,1988,VinylSd,BrkTil,702.0,TA,Y,852,1650,1689,3,0,4,1,TA,0,Attchd,2,321.0,116,25,60,0,0,9,2020,WD,Partial,Norm,439024
RL,63.96173571166169,15406,OldTown,1Fam,1Story,10,4,1945,1962,Wd Sdng,CBlock,941.0,Ex,Y,1077,1700,1346,2,0,3,1,Gd,0,Detchd,2,320.0,105,11,37,0,0,11,2023,WD,Normal,Norm,662161
RL,71.82179933570055,16704,BrkSide,1Fam,2Story,6,8,1926,1970,VinylSd,PConc,1248.0,Gd,N,1071,550,1907,3,1,3,1,TA,0,None,1,151.0,7,45,24,0,0,12,2023,Oth,Normal,Norm,656299
RL,61.799007652723226,15521,Mitchel,1Fam,1Story,3,7,1913,1976,Wd Sdng,CBlock,600.0,TA,Y,435,1450,1912,2,1,3,1,TA,0,Detchd,1,,47,14,5,0,0,2,2019,New,Normal,Norm,631863
RH,,7087,Gilbert,1Fam,2Story,10,8,1915,2019,Plywood,CBlock,,Gd,N,1034,1150,1573,1,0,3,1,Ex,1,None,2,315.0,80,27,0,0,0,2,2016,Con,Normal,Norm,544257
C (all),46.750678293494474,8519,Sawyer,1Fam,2Story,10,2,1942,1967,VinylSd,PConc,1247.0,Gd,N,1052,1650,1885,1,0,3,1,Gd,1,Detchd,2,595.0,60,13,3,0,2000,1,2009,New,Normal,Norm,614576
RL,58.728375257921485,17754,OldTown,1Fam,2Story,5,9,1947,2001,VinylSd,BrkTil,819.0,Fa,N,1051,300,1609,1,0,3,1,Gd,0,Attchd,2,381.0,73,6,16,0,4000,10,2020,WD,Normal,Norm,599182
RL,51.90254780028293,11464,IDOTRR,Twnhs,2Story,1,8,1943,1959,MetalSd,PConc,882.0,TA,Y,1524,1100,1275,1,2,1,1,TA,2,BuiltIn,2,578.0,63,0,10,0,1000,3,2009,WD,Partial,Norm,576961
RL,58.72446042009058,9429,SawyerW,Duplex,SLvl,6,8,1985,2020,Wd Sdng,PConc,442.0,Ex,Y,735,0,1779,2,0,5,2,TA,1,Detchd,2,410.0,93,64,1,0,0,5,2009,COD,Normal,Norm,624449
RL,90.62826125881409,13373,Sawyer,1Fam,1Story,6,1,1964,1997,VinylSd,CBlock,796.0,Gd,N,852,650,1544,1,1,2,1,Gd,0,Attchd,2,314.0,230,46,1,0,0,5,2021,New,Normal,Feedr,569497
RL,99.56063588653927,14529,ClearCr,1Fam,SLvl,2,3,1923,1981,MetalSd,BrkTil,997.0,TA,Y,400,0,1500,3,0,3,1,Gd,0,Attchd,3,814.0,27,18,26,0,500,5,2008,WD,Normal,Norm,614689
RL,55.98414778162116,8214,ClearCr,1Fam,1Story,7,5,2020,2020,CemntBd,PConc,1279.0,TA,Y,955,800,2089,2,1,4,1,TA,1,Attchd,2,552.0,25,125,6,0,0,6,2008,WD,Normal,Norm,767511
RL,55.53984914553593,11377,Sawyer,1Fam,2Story,9,6,1990,1990,Wd Sdng,PConc,768.0,Gd,Y,981,1450,519,2,2,4,1,Ex,1,Detchd,3,551.0,17,66,6,0,0,5,2015,WD,Normal,Norm,652902
RL,46.857427028121705,14206,MeadowV,Duplex,SLvl,2,6,1958,1966,Wd Sdng,CBlock,1497.0,Ex,Y,947,1200,932,3,0,3,1,Gd,2,Detchd,2,413.0,23,37,9,0,0,3,2016,WD,Normal,Norm,449584
RL,,5858,Veenker,1Fam,1Story,8,9,1906,1994,VinylSd,Slab,794.0,Gd,Y,1432,600,1025,3,1,4,1,Gd,1,BuiltIn,1,183.0,35,22,46,0,0,5,2006,Oth,Normal,Norm,515290
RL,92.42008813832605,10549,BrkSide,1Fam,1.5Fin,2,1,2013,2014,CemntBd,PConc,795.0,Gd,N,1358,750,1354,2,0,2,1,Gd,3,Attchd,2,430.0,86,28,30,0,0,10,2012,WD,Normal,Norm,606032
RH,67.88036400022426,6042,BrkSide,1Fam,2Story,8,3,1992,1992,Plywood,PConc,1461.0,Gd,Y,1123,650,1398,2,1,4,2,Gd,1,Attchd,1,224.0,50,39,53,700,0,2,2010,WD,Normal,Norm,581519
RL,,6565,BrkSide,TwnhsE,SLvl,5,1,1957,2005,Wd Sdng,Slab,1063.0,Fa,Y,988,1300,897,3,0,3,1,Gd,3,Attchd,2,411.0,169,15,35,0,0,12,2011,WD,Normal,PosN,561303
FV,43.86674869087496,8247,Timber,Duplex,1Story,1,5,1920,1991,Plywood,CBlock,834.0,Gd,Y,1407,500,1105,2,0,5,2,TA,1,Detchd,2,294.0,25,37,10,450,4000,5,2009,WD,Normal,Artery,435180
RL,,12408,NAmes,1Fam,2Story,10,3,1913,2007,HdBoard,PConc,953.0,Ex,Y,1094,0,1155,2,0,3,1,Ex,1,BuiltIn,2,393.0,105,5,12,0,0,4,2018,WD,Normal,Norm,647904
RL,80.98675836892997,9211,Sawyer,Twnhs,1Story,2,6,1935,2006,Plywood,PConc,1405.0,Ex,Y,854,900,2482,1,0,3,1,Gd,1,BuiltIn,2,496.0,67,93,13,0,2000,6,2014,WD,Normal,Norm,628087
RM,,7906,BrkSide,1Fam,1Story,6,4,1928,1952,MetalSd,CBlock,1439.0,Ex,Y,585,1500,2220,2,2,3,1,Ex,1,Attchd,2,423.0,12,29,11,0,0,12,2023,WD,Normal,Norm,688499
RL,63.573801789242346,10706,SawyerW,1Fam,2Story,2,3,1925,1951,VinylSd,CBlock,754.0,Ex,Y,967,850,1335,2,1,2,2,Ex,0,Detchd,2,413.0,95,3,14,0,0,10,2006,COD,Normal,Norm,587982
RH,102.36591779114767,5912,Mitchel,Duplex,2Story,10,4,1950,2017,HdBoard,PConc,987.0,Gd,Y,1326,400,1354,1,0,3,1,Fa,0,Detchd,3,548.0,62,103,15,0,0,10,2019,WD,Normal,Norm,615776
RH,65.6498158673943,12215,Mitchel,1Fam,2Story,8,6,1905,1961,MetalSd,PConc,1027.0,Ex,N,1782,0,1040,1,0,4,1,TA,0,CarPort,3,586.0,108,19,23,0,0,3,2022,WD,Normal,Norm,596885
RL,99.79276181581248,15025,NridgHt,1Fam,2Story,9,9,1940,1992,Wd Sdng,Slab,704.0,Gd,Y,1118,1700,736,1,1,3,1,Gd,0,Detchd,2,552.0,138,3,9,0,0,11,2014,WD,AdjLand,Norm,552304
RL,82.98092257911367,10183,NWAmes,1Fam,1.5Fin,5,2,2008,2008,HdBoard,CBlock,983.0,Gd,Y,870,1350,1453,1,0,5,1,Gd,2,Attchd,1,174.0,21,1,20,0,0,9,2018,WD,Normal,Norm,427112
RL,48.314407983292845,9689,IDOTRR,1Fam,2Story,5,2,2007,2007,CemntBd,CBlock,1001.0,Gd,Y,744,300,1100,1,0,3,1,Gd,1,Detchd,1,248.0,99,102,10,0,0,1,2013,WD,Abnorml,Artery,556016
RH,64.14657413296288,11993,StoneBr,1Fam,1Story,7,9,1901,1950,HdBoard,PConc,1342.0,Po,Y,1265,0,1466,2,1,3,1,TA,0,Attchd,1,221.0,46,9,48,700,0,6,2016,WD,Normal,Norm,517833
RL,67.42611522910595,2386,OldTown,1Fam,1.5Fin,8,9,1984,1984,VinylSd,PConc,1362.0,Po,Y,570,0,859,2,0,3,1,Gd,0,Detchd,2,459.0,2,23,16,250,0,11,2022,WD,Normal,Norm,584809
FV,50.94976863812987,12647,NAmes,1Fam,2Story,9,9,2022,2022,HdBoard,Slab,901.0,Gd,Y,1265,700,1195,2,0,3,1,Ex,0,Detchd,1,190.0,3,14,15,0,0,7,2015,COD,Normal,Norm,669208
RL,,22907,Somerst,1Fam,1Story,1,9,1971,2016,MetalSd,CBlock,935.0,Gd,Y,1345,1450,1559,2,0,4,1,Ex,1,BuiltIn,3,617.0,120,9,8,0,0,8,2016,WD,Normal,Norm,608045
RL,100.13537184237121,10009,Edwards,1Fam,2Story,7,2,1948,1975,VinylSd,PConc,1199.0,TA,Y,1230,300,1646,1,0,4,1,Fa,2,Attchd,2,439.0,117,38,2,750,0,5,2023,WD,Normal,Norm,584635
RL,50.452787606140966,10023,Mitchel,2fmCon,1Story,2,2,1960,1990,VinylSd,CBlock,824.0,Gd,Y,1034,1450,1666,2,1,3,1,Ex,0,BuiltIn,2,398.0,6,12,1,0,0,1,2014,WD,Normal,Norm,534455
FV,91.5687215281736,13474,NridgHt,TwnhsE,1.5Fin,3,6,1926,2019,HdBoard,PConc,1176.0,TA,N,1269,0,971,1,1,3,1,TA,0,Attchd,1,233.0,59,29,2,0,0,11,2009,WD,Partial,Norm,502541
RM,61.270310432699674,17081,OldTown,1Fam,1Story,9,7,1949,2011,MetalSd,PConc,973.0,TA,Y,1151,1300,1841,1,2,3,2,Gd,2,Detchd,2,476.0,55,37,31,0,0,10,2018,Oth,Normal,Norm,595257
RL,69.48721340233655,14399,Edwards,1Fam,2Story,3,8,2016,2016,BrkFace,PConc,709.0,Ex,Y,866,500,1179,2,0,3,1,TA,1,CarPort,2,613.0,194,81,2,0,0,4,2018,WD,Abnorml,Norm,499771
RL,81.23688836477145,1877,Mitchel,1Fam,2Story,8,9,1975,1998,Plywood,BrkTil,712.0,Gd,Y,1655,1700,1753,3,1,2,1,Gd,2,Attchd,2,462.0,90,1,30,0,0,3,2010,WD,Normal,Norm,707867
RL,58.028826541906426,12753,Mitchel,1Fam,SFoyer,5,9,1953,2021,VinylSd,CBlock,1434.0,TA,Y,994,850,1495,3,1,2,1,Fa,0,Detchd,1,143.0,175,23,8,0,0,7,2019,Oth,Normal,Artery,688833
RL,81.35808626989066,20787,Edwards,1Fam,2Story,3,3,1915,2008,VinylSd,CBlock,953.0,Gd,Y,1332,500,949,2,1,3,1,TA,0,Detchd,2,533.0,128,5,24,0,0,10,2007,WD,Abnorml,Norm,498829
FV,29.07140600903236,12989,NAmes,1Fam,SLvl,4,3,2012,2012,VinylSd,PConc,1492.0,TA,Y,400,450,1373,2,2,4,1,TA,1,BuiltIn,1,211.0,34,38,13,400,0,2,2011,WD,Normal,Norm,560414
RL,78.79414776829273,5881,SawyerW,1Fam,2Story,6,5,1920,2001,VinylSd,BrkTil,845.0,TA,N,1482,1450,1646,2,2,1,1,Ex,0,Attchd,1,300.0,23,52,14,0,0,8,2021,WD,Normal,Norm,567413
RH,20.62939750856728,11627,Edwards,Twnhs,1Story,8,3,1989,1989,Wd Sdng,PConc,1087.0,Gd,Y,1540,750,1745,2,1,3,1,Gd,1,CarPort,3,,9,8,20,0,0,11,2017,WD,Normal,Norm,610984
RL,65.46306546603086,5377,Somerst,1Fam,1Story,7,7,1937,2018,CemntBd,PConc,1717.0,Gd,Y,1108,650,1443,1,2,3,1,Gd,1,None,1,199.0,62,26,6,0,0,6,2016,Oth,Abnorml,Norm,644793
RH,,15431,Mitchel,1Fam,1Story,10,8,1934,1956,Wd Sdng,BrkTil,682.0,Gd,Y,1267,1300,2112,1,1,3,1,Gd,0,Detchd,1,248.0,4,49,1,700,0,1,2017,Con,Normal,PosA,747478
RH,,6676,ClearCr,Duplex,1Story,9,7,1921,1966,MetalSd,BrkTil,430.0,Ex,N,1267,950,1903,3,0,4,1,TA,1,Attchd,2,392.0,229,12,15,0,0,1,2008,Oth,Normal,Norm,654846
RM,44.03179042076118,10796,Crawfor,Duplex,2Story,8,1,1946,1975,Plywood,PConc,1385.0,Gd,Y,907,1200,1397,3,1,4,1,Fa,1,Detchd,2,440.0,113,36,7,0,0,2,2023,New,Partial,PosN,563322
C (all),46.60671207812966,7068,SawyerW,1Fam,1Story,7,8,1983,1983,MetalSd,PConc,751.0,Ex,Y,1264,800,1800,1,1,4,1,TA,2,Attchd,1,247.0,66,30,12,0,0,11,2011,WD,Abnorml,Norm,628963
RL,56.2265591935473,8314,OldTown,1Fam,1.5Fin,3,3,1951,1994,CemntBd,CBlock,993.0,Fa,Y,857,0,2273,1,0,4,2,Gd,0,Detchd,0,0.0,20,73,17,0,0,6,2020,WD,Normal,Norm,548175
RM,,16444,Crawfor,1Fam,1Story,5,4,1903,2002,Plywood,PConc,824.0,TA,Y,917,0,2284,1,0,2,1,Ex,1,Attchd,1,255.0,167,32,3,0,0,2,2023,WD,Normal,Norm,480054
RL,29.36133619912593,10913,ClearCr,1Fam,1Story,2,6,1932,2015,BrkFace,CBlock,1080.0,Ex,Y,1438,0,1008,2,0,3,1,TA,0,Attchd,2,445.0,138,13,8,0,4000,11,2010,New,Abnorml,Norm,547940
RL,69.73552848302883,8263,Timber,2fmCon,2Story,4,2,1919,1987,VinylSd,CBlock,714.0,TA,Y,1392,1050,1129,1,1,3,1,Gd,2,Attchd,1,,3,13,6,200,0,10,2017,WD,Normal,Norm,387563
RL,,5919,Mitchel,1Fam,SLvl,10,7,1949,1995,Wd Sdng,CBlock,,TA,Y,888,900,2093,2,0,4,1,Gd,1,Detchd,2,410.0,107,61,1,0,0,2,2006,WD,AdjLand,Norm,721237
RH,64.33925638258033,3013,Edwards,1Fam,SLvl,5,7,2011,2011,BrkFace,PConc,1134.0,TA,Y,879,1350,1076,1,0,4,1,Ex,0,Detchd,3,467.0,29,90,8,0,0,9,2017,WD,Abnorml,Norm,536308
C (all),,5494,Edwards,1Fam,SLvl,2,5,2019,2019,Plywood,BrkTil,,Gd,Y,906,1600,970,1,0,2,1,TA,1,Detchd,1,163.0,179,9,17,0,0,4,2013,WD,Normal,Norm,429230
RL,,10947,NridgHt,1Fam,SLvl,7,4,2023,2023,CemntBd,Slab,789.0,Gd,Y,1319,350,1305,1,0,3,1,Ex,1,Attchd,2,557.0,5,124,0,0,0,1,2007,New,Normal,PosA,514827
RH,59.16691481202209,14420,ClearCr,TwnhsE,1Story,10,3,1913,1951,Wd Sdng,CBlock,895.0,Gd,Y,800,1700,1668,2,2,3,1,Gd,1,Attchd,1,216.0,21,16,7,700,0,1,2018,Oth,Normal,Norm,608249
FV,31.2762127948102,8258,Mitchel,1Fam,2Story,9,6,1960,1990,MetalSd,PConc,571.0,Gd,N,1207,1650,1459,1,0,5,1,Gd,0,Attchd,1,226.0,272,13,6,0,0,7,2023,WD,Normal,Feedr,561610
